Position,Login,Symbol,Date,Action,Entry,Reason,Profit,Commission,Swap,Volume,VolumeClosed,Price,StopLoss,TakeProfit
92556557,2715093,GBPUSD,2026-05-18T10:25:35,Buy,In,Mobile,-2.5,-2.5,0,1,0,1.3347,N/A,N/A
92556557,2715093,GBPUSD,2026-05-18T11:09:44,Sell,Out,SL,47.5,-2.5,0,1,1,1.3352,1.33523,1.33771
92582541,2715093,EURUSD,2026-05-18T12:27:16,Sell,In,Mobile,-1.5,-1.5,0,0.6,0,1.16374,N/A,N/A
92582541,2715093,EURUSD,2026-05-18T14:34:35,Buy,Out,SL,-3.3,-1.5,0,0.6,0.6,1.16377,1.16371,1.16124
93222380,2715093,EURUSD,2026-05-21T10:55:20,Sell,In,Mobile,-1.25,-1.25,0,0.5,0,1.16061,N/A,N/A
93222380,2715093,EURUSD,2026-05-21T11:10:49,Buy,Out,SL,-50.75,-1.25,0,0.5,0.5,1.1616,1.1616,1.1586
93232881,2715093,EURUSD,2026-05-21T11:34:01,Sell,In,Mobile,-1.0,-1,0,0.4,0,1.16277,N/A,N/A
93232881,2715093,EURUSD,2026-05-21T11:46:50,Buy,Out,SL,1.4,-1,0,0.4,0.4,1.16271,1.1627,1.15901
93237023,2715093,EURUSD,2026-05-21T11:58:34,Sell,In,Mobile,-1.0,-1,0,0.4,0,1.16218,N/A,N/A
93237023,2715093,EURUSD,2026-05-21T12:29:28,Buy,Out,Mobile,-42.2,-1,0,0.4,0.4,1.16321,N/A,1.15968
93242562,2715093,EURUSD,2026-05-21T12:29:32,Buy,In,Mobile,-1.0,-1,0,0.4,0,1.16321,N/A,N/A
93242562,2715093,EURUSD,2026-05-21T12:58:46,Sell,Out,Mobile,-22.6,-1,0,0.4,0.4,1.16267,N/A,1.16572
93630981,2715093,EURUSD,2026-05-25T09:49:41,Buy,In,Mobile,-1.0,-1,0,0.4,0,1.16434,N/A,N/A
93630981,2715093,EURUSD,2026-05-25T10:18:46,Sell,Out,SL,-55.0,-1,0,0.4,0.4,1.16299,1.16311,1.16685
93639886,2715093,EURUSD,2026-05-25T10:44:08,Buy,In,Mobile,-1.5,-1.5,0,0.6,0,1.16355,N/A,N/A
93639886,2715093,EURUSD,2026-05-25T19:41:29,Sell,Out,SL,4.5,-1.5,0,0.6,0.6,1.16365,1.16366,1.1681
93783684,2715093,EURUSD,2026-05-26T11:25:26,Sell,In,Mobile,-1.5,-1.5,0,0.6,0,1.16402,N/A,N/A
93783684,2715093,EURUSD,2026-05-26T21:52:37,Buy,Out,SL,59.1,-1.5,0,0.6,0.6,1.16301,1.163,1.1604
94005038,2715093,EURUSD,2026-05-27T13:33:39,Sell,In,Mobile,-1.5,-1.5,0,0.6,0,1.16386,N/A,N/A
94005038,2715093,EURUSD,2026-05-27T15:00:02,Buy,Out,SL,0.9,-1.5,0,0.6,0.6,1.16382,1.16382,1.16037
94054478,2715093,EURUSD,2026-05-27T16:34:07,Sell,In,Mobile,-1.25,-1.25,0,0.5,0,1.16434,N/A,N/A
